word	pinyin	definition	pos	sentence	translation
生きる	sheng1	live (one's life)	Verb	皆一生懸命生きている。	They're all living their lives the best way that they can.
言葉	yan2, xie2, ye4, she4	word, language	Noun	この言葉の意味が分かりません。	I don't understand the meaning of this word.
顔	yan2	face	Noun	彼はタオルで顔を拭きました。	He wiped his face with a towel.
どこ		where	Noun	あの本をどこに置きましたか。	Where did you put that book?
一つ	yi1	one (thing)	Noun	それを一つください。	Please give me one of those.
あげる		give	Verb	この本、あなたにあげます。	I'll give you this book.
こう		like this, this kind of	Adverb	こう小さい字は読めない。	I can't read such small letters.
学校	xue2, xiao4, jiao4	school	Noun	学校は8時半に始まります。	School starts at 8:30.
くれる		be given	Verb	友達が誕生日プレゼントをくれた。	My friend gave me a birthday present.
起きる	qi3	get up, get out of bed	Verb	私は毎朝6時に起きます。	I get up at six o'clock every morning.
春	chun1	spring	Noun	今年の春は暖かいね。	It's warm this spring, isn't it.
午前	wu3, qian2	morning, a.m.	Noun	午前9時のニュースです。	And now for the 9.00 a.m. news.
買う	mai3	buy	Verb	郵便局で切手を買いました。	I bought a stamp at the post office.
別	bie2	another, different	Adjectival Noun	別の本も見せてください。	Please show me another book.
終わる	zhong1	finish, end	Verb	会議は4時に終わります。	The conference ends at four o'clock.
若い	ruo4, re3	young	Adjective	彼はまだ若いです。	He's still young.
かなり		fairly, rather	Adverb	彼はかなり英語が上手です。	He's pretty good at English.
置く	zhi4	put, leave	Verb	彼はかばんをいすの上に置きました。	He put the bag on the chair.
住む	zhu4	live, reside	Verb	彼は会社の近くに住んでいる。	He lives near his office.
戻る	li4	return, turn back	Verb	今、会社に戻ります。	I'm going back to the office now.
働く	dong4	work	Verb	姉は銀行で働いています。	My big sister works at a bank.
後	hou4	after	Adverb	仕事の後、映画を見た。	I saw a movie after work.
先生	xian1, sheng1	teacher	Noun	私は日本語の先生になりたいです。	I want to become a Japanese teacher.
立つ	li4	stand, rise	Verb	彼はステージに立った。	He stood on stage.
気	qi4	spirit, temperament	Noun	彼は意外に気が小さい。	He's unexpectedly timid.
呼ぶ	hu1	call, name	Verb	ウェイターを呼びましょう。	Let's call the waiter.
もっと		more	Adverb	もっと近くに来てください。	Please come closer.
帰る	gui1	return, go back	Verb	家に帰ろう。	Let's go home.
気持ち	qi4, chi2	feeling, sensation	Noun	彼の気持ちが分からない。	I don't understand his feelings.
飛ぶ	fei1	fly	Verb	鳥が飛んでいます。	A bird is flying.
車	che1, ju1	car, automobile	Noun	弟が車を買った。	My younger brother bought a car.
変える	bian4	change	Verb	旅行の日程を変えました。	I changed our travel schedule.
広い	guang3, an1	wide, big	Adjective	彼の家はとても広い。	His house is very big.
分かる	fen1, fen4	understand	Verb	質問の意味は分かりましたか。	Did you understand the meaning of the question?
数	shu4, shu3, shuo4	number	Noun	グラスの数が足りません。	There are not enough glasses.
近い	jin4	near, soon	Adjective	駅はここから近いです。	The station is near here.
そこ		there	Pronoun	そこに座ってください。	Please sit there.
走る	zou3	run	Verb	彼は毎晩3キロ走っています。	Every night he runs three kilometers.
売る	mai4	sell	Verb	彼は家を売った。	He sold the house.
朝	zhao1, chao2	morning	Noun	気持ちのいい朝です。	It's a pleasant morning.
教える	jiao4, jiao1	teach, tell	Verb	彼は数学を教えています。	He teaches mathematics.
歩く	bu4	walk, go on foot	Verb	駅まで歩きましょう。	Let's walk to the station.
直ぐ	zhi2	at once, soon	Adverb	直ぐ行きます。	I'll go right away.
会う	hui4, kuai4	meet	Verb	また会いましょう。	Let's meet again.
部屋	bu4, wu1	room	Noun	私の部屋は2階にあります。	My room is on the second floor.
起こる	qi3	happen	Verb	町で大事件が起こりました。	There was a major incident in town.
秋	qiu1	autumn, fall	Noun	彼女は秋に結婚します。	She'll get married this fall.
難しい	nan2, nan4	difficult	Adjective	この本は難しいですね。	This book is difficult.
送る	song4	send	Verb	彼の家に荷物を送りました。	I sent a package to his house.
死ぬ	si3	die	Verb	犬が病気で死にました。	Our dog got sick and died.
乗る	cheng2, sheng4	ride, take	Verb	駅からはタクシーに乗ってください。	Please take a taxi from the station.
安い	an1	inexpensive, cheap	Adjective	この服はとても安かった。	These clothes were very cheap.
書く	shu1	write	Verb	彼に手紙を書きました。	I wrote him a letter.
話す	hua4	speak, tell	Verb	母と電話で話しました。	I spoke to my mother on the phone.
頭	tou2, tou5	head	Noun	今朝から頭が痛い。	I've had a headache since this morning.
体	ti3, ben4	body, health	Noun	私は体が丈夫だ。	I'm physically strong.
ここ		here	Pronoun	ここに本があります。	There's a book here.
待つ	dai4	wait, wait for	Verb	あなたが来るのを待っています。	I am waiting for you to come.
低い	di1	low, short	Adjective	彼は背が低い。	He's short.
もらう		receive	Verb	彼女からプレゼントをもらいました。	I got a present from her.
食べる	shi2, si4	eat	Verb	昨日タイカレーを食べました。	I had Thai curry yesterday.
早い	zao3	early	Adjective	まだ学校へ行くには早い時間です。	It's still too early to go to school.
兄	xiong1	older brother	Noun	兄は水泳が得意です。	My big brother is good at swimming.
名前	ming2, qian2	name	Noun	あなたの名前を教えてください。	Please tell me your name.
夫	fu1, fu2	husband	Noun	私の夫はサラリーマンです。	My husband is a company employee.
一	yi1	one	Noun	一から始めましょう。	Let's start from the beginning.
結婚	jie2, jie1, hun1	marriage	Verbal Noun	彼女は来月結婚します。	She's getting married next month.
親	qin1, qing4	parent	Noun	親の愛は有り難い。	We're grateful for our parents' love.
古い	gu3	old	Adjective	私は古い車が好きです。	I like old cars.
美しい	mei3	beautiful	Adjective	この絵は美しいです。	This picture is beautiful.
足	zu2, ju4	leg, foot	Noun	彼は足が長い。	He has long legs.
次	ci4	next	Noun	次はいつ会いましょうか。	When shall we meet again?
起こす	qi3	wake up	Verb	明日、6時に起こしてください。	Please wake me up tomorrow at six o'clock.
見せる	jian4, xian4	show	Verb	その写真を見せてください。	Please show me those pictures.
娘	niang2	daughter, girl	Noun	私の娘はアメリカにいます。	My daughter is in the United States.
とても		very	Adverb	この本はとてもおもしろい。	This book is very interesting.
少し	shao3, shao4	a bit, a little while	Adverb	少し疲れました。	I'm a little tired.
質問	zhi2, zhi4, wen4	question	Verbal Noun	質問のある方はどうぞ。	Please feel free to ask any questions.
楽しむ	le4, yue4	enjoy	Verb	今日は一人の時間を楽しみたい。	Today I would like to enjoy some time to myself.
色	se4, shai3	color	Noun	すてきな色のセーターですね。	That sweater is a wonderful color.
みんな		all, everybody	Noun	みんなにお菓子をあげましょう。	Let's give everyone some sweets.
取る	qu3	take, get	Verb	テストでいい点を取った。	I got a good grade on the test.
勉強	mian3, qiang2, jiang4, qiang3	study	Verbal Noun	私は日本語を勉強しています。	I'm studying Japanese.
出来る	chu1, lai2	can do, be good at	Verb	彼女はイタリア語が出来ます。	She knows Italian.
短い	duan3	short, brief	Adjective	彼は足が短い。	His legs are short.
落ちる	luo4, la4, lao4	fall, sink	Verb	猿も木から落ちる。	Monkeys also fall from trees.
息子	xi1, xi2, zi3, zi2, zi5	son	Noun	うちの息子は大学1年生です。	My son's a college freshman.
白い	bai2	white, blank	Adjective	彼は歯が白い。	His teeth are white.
誰	shui2, shei2	who, whom	Noun	誰と会ってみたいですか。	Who would you like to meet one day?
いつも		always	Adverb	彼女はいつも元気だ。	She's always full of energy.
飛行機	fei1, xing2, hang2, hang4, xing4, ji1	airplane	Noun	息子は飛行機のおもちゃが好きです。	My son likes toy airplanes.
勝つ	sheng4, sheng1	win	Verb	今日はヤンキースが勝った。	The Yankees won today.
病気	bing4, qi4	illness	Verbal Noun	祖父が病気になった。	My grandfather got sick.
冬	dong1	winter	Noun	カナダの冬はとても寒いです。	Canada's winters are very cold.
年	nian2	year, age	Noun	新しい年が始まりました。	A new year has started.
重い	zhong4, chong2	heavy	Adjective	このかばんは重いです。	This bag is heavy.
胸	xiong1	chest	Noun	胸に少し痛みがあります。	I have a slight pain in my chest.
読む	du2, dou4	read	Verb	彼女は雑誌を読んでいます。	She's reading the magazine.
払う	fu2, bi4	pay	Verb	私が払いましょう。	Let me pay for that.
軽い	qing1	light, light weight	Adjective	この靴はとても軽い。	These shoes are very light.
見つける	jian4, xian4	find	Verb	新しい仕事を見つけました。	I found a new job.
いつ		when	Noun	彼女はいつ来ますか。	When is she coming?
友達	you3, da2	friend, companion	Noun	私には友達がたくさんいます。	I have a lot of friends.
忘れる	wang4, wang2	forget, leave behind	Verb	約束を忘れないでください。	Please don't forget your promise.
酒	jiu3	alcoholic drink, Japanese rice wine	Noun	彼女は酒に強い。	She holds her liquor well.
どちら		which	Noun	肉と魚とどちらが好きですか。	Which do you prefer, meat or fish?
姉	zi3	older sister	Noun	姉は大学生です。	My big sister's a college student.
覚える	jue2, jiao4	memorize, learn	Verb	妹は平仮名を全部覚えました。	My little sister learned all the hiragana.
狭い	xia2	narrow, restricted	Adjective	私の部屋は狭いです。	My room is small.
好き	hao3, hao4	favorite, liked	Adjectival Noun	私はワインが好きです。	I like wine.
建てる	jian4	build, erect	Verb	私たちは来年、家を建てます。	We're building a house next year.
どれ		what, which	Noun	この中でどれが好きですか。	Which of these do you like?
赤い	chi4	red	Adjective	赤いバラを買いました。	I bought a red rose.
今日	jin1, ri4	today	Noun	今日は仕事がありません。	I have no work today.
着る	zhao2, zhao1, zhe5, zhuo2	wear, put on	Verb	今日はスーツを着ています。	I'm wearing a suit today.
笑う	xiao4	laugh, smile	Verb	赤ん坊が笑っています。	The baby is laughing.
一番	yi1, fan1, pan1	most	Adverb	彼はクラスで一番背が高い。	He's the tallest in class.
授業	shou4, ye4	class, lesson	Verbal Noun	今日は日本語の授業があります。	There's going to be a Japanese class today.
週	zhou1	week	Noun	その次の週は空いてますか。	Are you free the following week?
漢字	han4, zi4	character, kanji	Noun	漢字は中国から来ました。	Kanji came from China.
自転車	zi4, zhuan3, zhuai3, zhuan4, che1, ju1	bicycle	Noun	毎日、駅まで自転車で行きます。	I go to the station by bike every day.
電車	dian4, che1, ju1	train	Noun	私は電車で通学しています。	I go to school by train.
探す	tan4, tan1	search for, look for	Verb	彼は郵便局を探していました。	He was looking for the post office.
紙	zhi3	paper	Noun	紙と鉛筆はありますか。	Do you have paper and pencil?
歌う	ge1	sing	Verb	私たちは大きな声で歌いました。	We sang loudly.
遅い	chi2	slow, late	Adjective	前の車はとても遅い。	The car in front is very slow.
首	shou3	neck	Noun	きりんの首は長い。	Giraffes' necks are long.
速い	su4	fast	Adjective	彼は走るのが速い。	He runs fast.
一緒に	yi1, xu4	together, at the same time	Adverb	一緒に帰りましょう。	Let's go home together.
日記	ri4, ji4	diary	Noun	私は毎日、日記を付けています。	I keep a diary every day.
今月	jin1, yue4	this month	Noun	今月はとても忙しい。	I'm very busy this month.
遊ぶ	you2	play	Verb	子供たちが公園で遊んでいる。	The children are playing in the park.
遠い	yuan3, yuan4	far, distant	Adjective	家から学校までは遠いです。	It's a long way from my house to the school.
弱い	ruo4	weak	Adjective	その子は体が少し弱い。	That child has a somewhat weak constitution.
耳	er3	ear, hearing	Noun	彼女は耳がよく聞こえません。	Her hearing isn't very good.
座る	zuo4	sit, sit down	Verb	私は窓側の席に座った。	I sat in a window seat.
右	you4	right	Noun	右のポケットにハンカチが入っています。	There's a handkerchief in my right pocket.
浴びる	yu4	take (a shower)	Verb	私は朝、シャワーを浴びます。	I take a shower in the morning.
肩	jian1	shoulder	Noun	肩が凝りました。	My shoulders are stiff.
飲む	yin3, yin4	drink	Verb	友達とお酒を飲んでいます。	I'm drinking sake with a friend.
寝る	qin3	sleep, go to sleep	Verb	もう寝よう。	Let's go to bed.
消す	xiao1	switch off, turn off	Verb	昼間は電気を消してください。	Please turn the lights off during the day.
元気	yuan2, qi4	healthy, energetic	Adjective	おかげさまで元気です。	I'm fine, thank you.
負ける	fu4	lose	Verb	私たちのチームはその試合で負けた。	Our team lost the game.
全部	quan2, bu4	all, wholly	Adverb	それ、全部ください。	I'd like all of those, please.
去年	qu4, nian2	last year	Noun	私は去年フランスへ行った。	I went to France last year.
引く	yin3	draw, pull	Verb	このドアは引いてください。	Please pull this door open.
図書館	tu2, shu1, guan3	library	Noun	図書館で料理の本を借りた。	I borrowed a cookbook from the library.
上げる	shang4, shang3	raise, improve	Verb	彼は荷物をあみだなに上げた。	He put the luggage on the luggage rack.
緑	lu:4	green, foliage	Noun	この町には緑がたくさんあります。	There's a lot of greenery in this town.
腕	wan4	arm	Noun	彼の腕は太い。	He has big arms.
ドア		door	Noun	ドアを開けてください。	Please open the door.
閉じる	bi4	close	Verb	教科書を閉じてください。	Please close your textbooks.
時	shi2	time	Noun	時の経つのは早い。	Time passes by quickly.
米	mi3	rice (grain)	Noun	日本人はお米が大好きです。	Japanese people love rice.
切る	qie1, qie4	cut	Verb	この紙を半分に切ってください。	Please cut this paper in half.
線	xian4	line	Noun	赤い線を2本引いて下さい。	Please draw two red lines.
決まる	jue2	be decided	Verb	旅行の日程が決まりました。	I've decided on my travel schedule.
楽しい	le4, yue4	fun, enjoyable	Adjective	彼はとても楽しい人です。	He's very fun to be with.
服	fu2, fu4	clothes	Noun	昨日、新しい服を買った。	I bought some new clothes yesterday.
後ろ	hou4	back, behind	Noun	後ろを向いて。	Turn around.
嬉しい	xi1	happy, glad	Adjective	彼に会えて嬉しかった。	I was glad to meet him.
腰	yao1	hip, lower back	Noun	昨日から腰が痛い。	I've had a pain in my lower back since yesterday.
日曜日	ri4, yao4, yue4, ri4	Sunday	Noun	日曜日は海に行きました。	We went to the seaside on Sunday.
開ける	kai1	open, unlock	Verb	窓を開けてください。	Please open the window.
昼	zhou4	daytime, midday	Noun	私は昼のドラマを毎日見ます。	I watch daytime dramas every day.
お母さん	mu3	mother	Noun	お母さんによろしくお伝えください。	Please give my best to your mother.
留学生	liu2, xue2, sheng1	student studying abroad	Noun	彼は留学生です。	He's a foreign student.
大学生	da4, dai4, xue2, sheng1	university student	Noun	姉は大学生です。	My big sister's a college student.
終わり	zhong1	end, conclusion	Noun	夏休みももう終わりだ。	Summer vacation's already over.
背	bei4, bei1	height, stature	Noun	彼女は背が高い。	She's tall.
手伝う	shou3, yun2	help, assist	Verb	私が手伝いましょう。	Can I help you?
鼻	bi2	nose	Noun	鼻がかゆいです。	My nose itches.
起きる	qi3	occur	Verb	近所で盗難事件が起きました。	Some burglaries occurred in the neighborhood.
熱い	re4	hot (things, touch)	Adjective	このスープはとても熱い。	This soup is very hot.
載せる	zai4, zai3	place, put on	Verb	皿にケーキを載せました。	I put the cake on the plate.
悲しい	bei1	sad	Adjective	その映画はとても悲しかった。	That movie was very sad.
愛する	ai4	love, care for	Verb	私は家族を愛しています。	I love my family.
しゃべる		chat, talk	Verb	彼女はよくしゃべるね。	She really likes to chat, doesn't she?
近く	jin4	vicinity, nearby	Noun	私の家は駅の近くです。	My house is near the station.
甘い	gan1	sweet	Adjective	このイチゴは甘い。	This strawberry is sweet.
テーブル		table	Noun	新しいテーブルを買いました。	I bought a new table.
食べ物	shi2, si4, wu4	food	Noun	日本の食べ物はとても美味しいです。	Japanese food is very delicious.
始まる	shi3	begin	Verb	新しい仕事が始まりました。	My new job started.
ゲーム		game	Noun	私たちはビデオゲームをした。	We played a video game.
十	shi2	ten	Noun	その子は指で十数えました。	The child counted to ten on her fingers.
天気	tian1, qi4	weather	Noun	今日はいい天気ですね。	It's nice out today.
暑い	shu3	hot, warm (temperature of the air)	Adjective	今日はとても暑い。	It's very hot today.
太い	tai4	thick, fat	Adjective	彼女は足が太い。	She has fat legs.
晩	wan3	evening (usually from sunset to bedtime)	Noun	晩ご飯は食べましたか。	Have you had dinner?
土曜日	tu3, yao4, yue4, ri4	Saturday	Noun	土曜日の夜はクラブに行きます。	I'm going to a club Saturday night.
神	shen2	god, spirit	Noun	彼は神を信じている。	He believes in God.
痛い	tong4	painful	Adjective	今日は頭が痛いです。	I have a headache today.
お父さん	fu4, fu3	father	Noun	お父さんは会社員です。	My father's a company employee.
多分	duo1, fen1, fen4	probably, perhaps	Adverb	彼女は多分家で寝ています。	She's probably sleeping at home.
時計	shi2, ji4	clock, watch	Noun	時計を見たらちょうど3時だった。	I looked at the clock and it was exactly three.
泊まる	bo2, po4	stay overnight	Verb	今日はこのホテルに泊まります。	I'm staying at this hotel today.
どうして		why	Adverb	どうして泣いているの。	Why are you crying?
掛ける	gua4	hang, put on	Verb	夫の服をハンガーに掛けた。	I put my husband's clothes on a hanger.
曲がる	qu3, qu1	turn	Verb	そこを左に曲がってください。	Please turn left there.
おなか		stomach	Noun	おなかが空きました。	I'm hungry.
ミーティング		meeting	Noun	朝9時からミーティングが始まった。	The meeting started at 9 a.m.
閉める	bi4	shut, close	Verb	ちゃんとドアを閉めてよ。	Close the door properly.
嫌い	xian2	dislike	Adjective	私はタバコが嫌いです。	I hate cigarettes.
金曜日	jin1, yao4, yue4, ri4	Friday	Noun	金曜日の夜は友達と出かけます。	I go out with my friends on Friday nights.
要る	yao4, yao1	need, require	Verb	予約は要りません。	Reservations are not required.
無い	wu2, mo2	to not be	Adjective	ここには何も無い。	There's nothing here.
黄色い	huang2, se4, shai3	yellow	Adjective	彼女に黄色いバラを買いました。	I bought her a yellow rose.
風邪	feng1, xie2, ye2	cold (illness)	Noun	私は風邪を引きました。	I caught a cold.
優しい	you1	gentle, kind	Adjective	彼はとても優しい人です。	He's a very kind person.
晴れる	qing2	be sunny, clear up	Verb	明日は晴れるといいですね。	I hope it'll be sunny tomorrow.
大好き	da4, dai4, hao3, hao4	love	Adjective	私は犬が大好きだ。	I love dogs.
茶色	cha2, se4, shai3	light brown	Noun	彼女は茶色の靴を履いています。	She's wearing brown shoes.
汚い	wu1	dirty	Adjective	彼の部屋はとても汚い。	His room is very dirty.
空く	kong1, kong4	be empty	Verb	レストランは空いていました。	The restaurant was empty.
上る	shang4, shang3	go up	Verb	猫が屋根に上っている。	The cat's up on the roof.
ご飯	fan4	cooked rice, meal	Noun	私はパンよりご飯が好きだ。	I prefer rice to bread.
日	ri4	day	Noun	私たちは先月11日に結婚しました。	We got married last month on the 11th.
髪の毛	fa4, mao2	hair	Noun	髪の毛が伸びたね。	Your hair's longer, isn't it?
つける		switch on	Verb	電気をつけてください。	Please turn on the light.
月曜日	yue4, yao4, yue4, ri4	Monday	Noun	月曜日に会いましょう。	Let's meet on Monday.
入る	ru4	enter	Verb	寒いので中に入ってください。	It's cold so please come inside.
片仮名	pian4, pian1, jia3, jia4, ming2	katakana	Noun	お名前を片仮名で書いてください。	Please write your name in katakana.
今週	jin1, zhou1	this week	Noun	今週は日本語のテストがあります。	There's a Japanese test this week.
開く	kai1	open	Verb	32ページを開いてください。	Please open to page 32.
水	shui3	water	Noun	水を一杯ください。	Please give me a glass of water.
あれ		that over there	Noun	あれは何ですか。	What's that?
二	er4	two	Noun	その人には二回会った。	I met that person twice.
閉まる	bi4	be shut, be closed	Verb	お店はもう閉まっていました。	The shop had already closed.
締める	di4	tighten, fasten	Verb	彼はシートベルトを締めた。	He fastened his seat belt.
まずい		bad-tasting, bad	Adjective	ここの料理はまずい。	The food here is bad.
平仮名	ping2, jia3, jia4, ming2	hiragana	Noun	私は平仮名を全部読めます。	I can read all the hiragana.
曇る	tan2	become cloudy	Verb	明日は昼頃から曇るでしょう。	It'll probably get cloudy around noon tomorrow.
触る	chu4	touch, feel	Verb	絵に触らないでください。	Please don't touch the painting.
駄目	tuo2, duo4, mu4	no good	Adjectival Noun	彼は駄目な男だ。	He's a loser.
書き直す	shu1, zhi2	rewrite	Verb	この書類を書き直してください。	Please rewrite this document.
飲み物	yin3, yin4, wu4	beverage, drink	Noun	何か飲み物が欲しいな。	I could really use something to drink.
木曜日	mu4, yao4, yue4, ri4	Thursday	Noun	木曜日は仕事が休みです。	Thursday is my day off work.
曜日	yao4, yue4, ri4	day of the week	Noun	曜日を間違えました。	I got the day of the week wrong.
そば		side, vicinity	Noun	そばにいて下さい。	Stay with me.
こっち		here	Pronoun	こっちに来て下さい。	Please come here.
火曜日	huo3, yao4, yue4, ri4	Tuesday	Noun	火曜日に会議があります。	There's a meeting on Tuesday.
渇く	ke3	be thirsty	Verb	喉が渇きました。	I'm thirsty.
三	san1	three	Noun	彼女は三人の子供の母親だ。	She's the mother of three children.
水曜日	shui3, yao4, yue4, ri4	Wednesday	Noun	水曜日はバイトがあります。	I have a part-time job on Wednesdays.
二つ	er4	two (things)	Noun	ソフトクリームを二つください。	Please give me two ice cream cones.
今晩	jin1, wan3	this evening, tonight	Noun	今晩のパーティーは何時からですか。	From what time is the party tonight?
千	qian1	thousand	Noun	千円貸してください。	Please lend me 1000 yen.
六つ	liu4, lu4	six (things)	Noun	息子は六つになりました。	My son turned six.
六日	liu4, lu4, ri4	six days, 6th of the month	Noun	六日前に日本に帰ってきました。	I came back to Japan six days ago.
お姉さん	zi3	older sister	Noun	昨日、あなたのお姉さんに会ったよ。	I met your older sister yesterday.
直る	zhi2	be repaired, return to normal	Verb	クーラーはまだ直りません。	The air conditioner hasn't been repaired yet.
易しい	yi4	easy, simple	Adjective	この問題はかなり易しいです。	This problem is pretty easy.
辺	bian1	vicinity, part	Noun	彼はこの辺に住んでいます。	He lives around here.
よう		way, like, kind	Noun	彼女は眠いようです。	It looks like she's sleepy.
お兄さん	xiong1	older brother	Noun	あなたのお兄さんは何歳?	How old's your big brother?
辛い	xin1	spicy, salty	Adjective	彼は辛いものが好きです。	He likes spicy food.
八	ba1, ba2	eight	Noun	りんごを八個ください。	Please give me eight apples.
三日	san1, ri4	three days, 3rd of the month	Noun	手紙が届くのに三日かかりました。	It took three days for the letter to arrive.
あそこ		over there	Pronoun	あそこにバス停があります。	There's a bus stop over there.
来る	lai2	come	Verb	彼は昼過ぎに来ます。	He'll come after lunch.
前	qian2	front, before	Noun	その店の前で会いましょう。	Let's meet in front of the shop.
五日	wu3, ri4	five days, 5th of the month	Noun	五月五日は祝日です	May 5th is a holiday.
一杯	yi1, bei1	full	Adverb	プールは人で一杯です。	The pool is packed.
九	jiu3	nine	Noun	野球は九人で1チームです。	In baseball there are nine people on one team.
酸っぱい	suan1	sour	Adjective	このぶどうは酸っぱいです。	These grapes are sour.
違う	wei2	differ, be wrong	Verb	答えが違います。	That's the wrong answer.
細い	xi4	thin, slender, narrow	Adjective	彼女は指が細いですね。	Her fingers are thin.
三つ	san1	three (things)	Noun	コップを三つ買いました。	I bought three glasses.
八日	ba1, ba2, ri4	eight days, 8th of the month	Noun	八日からイギリスに行きます。	I go to England on the eighth.
高校生	gao1, xiao4, jiao4, sheng1	high school student	Noun	私の弟は高校生です。	My little brother's a high school student.
上手	shang4, shang3, shou3	good, skilled	Adjectival Noun	妹は歌が上手です。	My little sister can sing.
強い	qiang2, jiang4, qiang3	strong	Adjective	今日は風が強い。	There's a strong wind today.
七	qi1	seven	Noun	バナナが七本あります。	There are seven bananas.
二十日	er4, shi2, ri4	20 days, 20th of the month	Noun	来月の二十日は弟の誕生日です。	The 20th of next month is my little brother's birthday.
左	zuo3	left	Noun	そこを左に曲がってください。	Please turn left there.
二日	er4, ri4	two days, 2nd of the month	Noun	私は二日待った。	I waited two days.
四つ	si4	four (things)	Noun	私は腕時計を四つ持っています。	I have four wristwatches.
暖かい	nuan3	warm	Adjective	このコートはとても暖かい。	This coat is really warm.
有る	you3, you4	exist, possess	Verb	私の机の上に書類がたくさん有ります。	There are a lot of documents on my desk.
良い	liang2	good	Adjective	彼女は良い友達です。	She's a good friend.
五つ	wu3	five (things)	Noun	桃を五つください。	I'd like five peaches, please.
妹	mei4	younger sister	Noun	私の妹は小学生です。	My little sister goes to elementary school.
上	shang4, shang3	up, above	Noun	上を向いて。	Look up.
動く	dong4	move	Verb	動かないで。	Freeze!
駅	yi4	railway station	Noun	駅はどこですか。	Where's the station?
おいしい		tasty	Adjective	このケーキはおいしいね。	This cake is yummy.
大きい	da4, dai4	big	Adjective	あの大きい建物は何ですか。	What's that big building?
弟	di4	younger brother	Noun	弟は野球が好きです。	My little brother likes baseball.
